gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	0.096
A1CF	HGNC:24086	-	0	 0.097	0.104
A2M	HGNC:7	-	0	 0.176	0.151
A2ML1	HGNC:23336	-	0	 0.084	0.086
A3GALT2	HGNC:30005	-	0	 0.082	0.083
A4GALT	HGNC:18149	-	0	 0.096	0.109
A4GNT	HGNC:17968	-	0	 0.097	0.102
AAAS	HGNC:13666	-	0	 0.109	0.102
AACS	HGNC:21298	-	0	 0.092	0.093
AADAC	HGNC:17	-	0	 0.104	0.110
AADACL2	HGNC:24427	-	0	 0.084	0.088
AADACL3	HGNC:32037	-	0	 0.082	0.083
AADACL4	HGNC:32038	-	0	 0.083	0.083
AADAT	HGNC:17929	-	0	 0.092	0.092
AAED1	HGNC:16881	-	0	 0.091	0.091
AAGAB	HGNC:25662	-	0	 0.095	0.103
AAK1	HGNC:19679	-	0	 0.109	0.118
AAMDC	HGNC:30205	-	0	 0.096	0.096
AAMP	HGNC:18	-	0	 0.103	0.106
AANAT	HGNC:19	-	0	 0.096	0.101
AAR2	HGNC:15886	-	0	 0.095	0.098
AARD	HGNC:33842	-	0	 0.088	0.089
AARS	HGNC:20	-	0	 0.112	0.116
AARS2	HGNC:21022	-	0	 0.092	0.096
AARSD1	HGNC:28417	-	0	 0.096	0.101
AASDH	HGNC:23993	-	0	 0.088	0.090
AASDHPPT	HGNC:14235	-	0	 0.100	0.108
AASS	HGNC:17366	-	0	 0.107	0.113
AATF	HGNC:19235	-	0	 0.118	0.137
AATK	HGNC:21	-	0	 0.101	0.116
ABAT	HGNC:23	-	0	 0.128	0.138
ABCA1	HGNC:29	-	1	 0.568	0.221
ABCA10	HGNC:30	-	0	 0.091	0.087
ABCA12	HGNC:14637	-	0	 0.107	0.124
ABCA13	HGNC:14638	-	0	 0.093	0.094
ABCA2	HGNC:32	-	0	 0.127	0.126
ABCA3	HGNC:33	-	0	 0.155	0.130
ABCA4	HGNC:34	-	0	 0.105	0.112
ABCA5	HGNC:35	-	0	 0.102	0.102
ABCA6	HGNC:36	-	0	 0.106	0.105
ABCA7	HGNC:37	-	1	 0.246	0.145
ABCA8	HGNC:38	-	0	 0.109	0.125
ABCA9	HGNC:39	-	0	 0.097	0.093
ABCB1	HGNC:40	-	0	 0.141	0.265
ABCB10	HGNC:41	-	0	 0.105	0.106
ABCB11	HGNC:42	-	0	 0.111	0.120
ABCB4	HGNC:45	-	0	 0.125	0.140
ABCB5	HGNC:46	± HC-S	0	 0.095	0.092
ABCB6	HGNC:47	-	0	 0.119	0.116
ABCB7	HGNC:48	-	0	 0.110	0.126
ABCB8	HGNC:49	-	0	 0.103	0.103
ABCB9	HGNC:50	-	0	 0.119	0.138
ABCC1	HGNC:51	-	0	 0.125	0.127
ABCC10	HGNC:52	-	0	 0.101	0.106
ABCC11	HGNC:14639	-	0	 0.094	0.096
ABCC12	HGNC:14640	-	0	 0.090	0.093
ABCC2	HGNC:53	-	0	 0.110	0.153
ABCC3	HGNC:54	-	0	 0.134	0.152
ABCC4	HGNC:55	-	0	 0.117	0.125
ABCC5	HGNC:56	-	0	 0.145	0.179
ABCC6	HGNC:57	-	0	 0.109	0.128
ABCC8	HGNC:59	-	0	 0.136	0.149
ABCC9	HGNC:60	-	0	 0.115	0.123
ABCD1	HGNC:61	-	0	 0.118	0.134
ABCD2	HGNC:66	-	0	 0.115	0.115
ABCD3	HGNC:67	-	0	 0.119	0.117
ABCD4	HGNC:68	-	0	 0.104	0.116
ABCE1	HGNC:69	-	0	 0.119	0.114
ABCF1	HGNC:70	-	0	 0.108	0.105
ABCF2	HGNC:71	-	0	 0.102	0.104
ABCF3	HGNC:72	-	0	 0.094	0.106
ABCG1	HGNC:73	-	0	 0.177	0.129
ABCG2	HGNC:74	-	1	 0.427	0.288
ABCG4	HGNC:13884	-	0	 0.105	0.108
ABCG5	HGNC:13886	-	0	 0.107	0.104
ABCG8	HGNC:13887	-	0	 0.105	0.101
ABHD1	HGNC:17553	-	0	 0.090	0.096
ABHD10	HGNC:25656	-	0	 0.098	0.107
ABHD11	HGNC:16407	-	0	 0.096	0.109
ABHD12	HGNC:15868	-	0	 0.093	0.098
ABHD12B	HGNC:19837	-	0	 0.084	0.086
ABHD13	HGNC:20293	-	0	 0.092	0.104
ABHD14A	HGNC:24538	-	0	 0.103	0.111
ABHD14B	HGNC:28235	-	0	 0.098	0.112
ABHD15	HGNC:26971	-	0	 0.094	0.098
ABHD16A	HGNC:13921	-	0	 0.102	0.107
ABHD16B	HGNC:16128	± HC-S	0	 0.084	0.092
ABHD17A	HGNC:28756	-	0	 0.096	0.098
ABHD17B	HGNC:24278	-	0	 0.095	0.096
ABHD17C	HGNC:26925	-	0	 0.097	0.112
ABHD2	HGNC:18717	-	0	 0.109	0.125
ABHD3	HGNC:18718	-	0	 0.105	0.104
ABHD4	HGNC:20154	-	0	 0.100	0.106
ABHD5	HGNC:21396	-	0	 0.110	0.106
ABHD6	HGNC:21398	-	0	 0.103	0.108
ABHD8	HGNC:23759	-	0	 0.102	0.101
ABI1	HGNC:11320	-	0	 0.120	0.119
ABI2	HGNC:24011	-	0	 0.117	0.115
ABI3	HGNC:29859	± HC-S	0	 0.107	0.115
ABI3BP	HGNC:17265	-	0	 0.105	0.109
ABL1	HGNC:76	-	0	 0.169	0.217
ABL2	HGNC:77	-	0	 0.125	0.126
ABLIM1	HGNC:78	-	0	 0.150	0.172
ABLIM2	HGNC:19195	-	0	 0.094	0.097
ABLIM3	HGNC:29132	-	0	 0.113	0.154
ABO	HGNC:79	-	3	 0.598	0.379
ABR	HGNC:81	-	0	 0.120	0.124
ABRA	HGNC:30655	-	0	 0.094	0.112
ABRACL	HGNC:21230	-	0	 0.097	0.096
ABT1	HGNC:17369	-	0	 0.101	0.106
ABTB1	HGNC:18275	-	0	 0.101	0.095
ABTB2	HGNC:23842	-	0	 0.115	0.125
ACAA1	HGNC:82	-	0	 0.115	0.119
ACAA2	HGNC:83	-	0	 0.115	0.115
