gene_symbol	gene_code	associations	mean_prediction
A1BG	HGNC:5	0	 0.090
A1CF	HGNC:24086	0	 0.097
A2M	HGNC:7	0	 0.176
A2ML1	HGNC:23336	0	 0.084
A3GALT2	HGNC:30005	0	 0.082
A4GALT	HGNC:18149	0	 0.096
A4GNT	HGNC:17968	0	 0.097
AAAS	HGNC:13666	0	 0.109
AACS	HGNC:21298	0	 0.092
AADAC	HGNC:17	0	 0.104
AADACL2	HGNC:24427	0	 0.084
AADACL3	HGNC:32037	0	 0.082
AADACL4	HGNC:32038	0	 0.083
AADAT	HGNC:17929	0	 0.092
AAED1	HGNC:16881	0	 0.091
AAGAB	HGNC:25662	0	 0.095
AAK1	HGNC:19679	0	 0.109
AAMDC	HGNC:30205	0	 0.096
AAMP	HGNC:18	0	 0.103
AANAT	HGNC:19	0	 0.096
AAR2	HGNC:15886	0	 0.095
AARD	HGNC:33842	0	 0.088
AARS	HGNC:20	0	 0.112
AARS2	HGNC:21022	0	 0.092
AARSD1	HGNC:28417	0	 0.096
AASDH	HGNC:23993	0	 0.088
AASDHPPT	HGNC:14235	0	 0.100
AASS	HGNC:17366	0	 0.107
AATF	HGNC:19235	0	 0.118
AATK	HGNC:21	0	 0.101
ABAT	HGNC:23	0	 0.128
ABCA1	HGNC:29	1	 0.568
ABCA10	HGNC:30	0	 0.091
ABCA12	HGNC:14637	0	 0.107
ABCA13	HGNC:14638	0	 0.093
ABCA2	HGNC:32	0	 0.127
ABCA3	HGNC:33	0	 0.155
ABCA4	HGNC:34	0	 0.105
ABCA5	HGNC:35	0	 0.102
ABCA6	HGNC:36	0	 0.106
ABCA7	HGNC:37	1	 0.246
ABCA8	HGNC:38	0	 0.109
ABCA9	HGNC:39	0	 0.097
ABCB1	HGNC:40	0	 0.141
ABCB10	HGNC:41	0	 0.105
ABCB11	HGNC:42	0	 0.111
ABCB4	HGNC:45	0	 0.125
ABCB5	HGNC:46	0	 0.095
ABCB6	HGNC:47	0	 0.119
ABCB7	HGNC:48	0	 0.110
ABCB8	HGNC:49	0	 0.103
ABCB9	HGNC:50	0	 0.119
ABCC1	HGNC:51	0	 0.125
ABCC10	HGNC:52	0	 0.101
ABCC11	HGNC:14639	0	 0.094
ABCC12	HGNC:14640	0	 0.090
ABCC2	HGNC:53	0	 0.110
ABCC3	HGNC:54	0	 0.134
ABCC4	HGNC:55	0	 0.117
ABCC5	HGNC:56	0	 0.145
ABCC6	HGNC:57	0	 0.109
ABCC8	HGNC:59	0	 0.136
ABCC9	HGNC:60	0	 0.115
ABCD1	HGNC:61	0	 0.118
ABCD2	HGNC:66	0	 0.115
ABCD3	HGNC:67	0	 0.119
ABCD4	HGNC:68	0	 0.104
ABCE1	HGNC:69	0	 0.119
ABCF1	HGNC:70	0	 0.108
ABCF2	HGNC:71	0	 0.102
ABCF3	HGNC:72	0	 0.094
ABCG1	HGNC:73	0	 0.177
ABCG2	HGNC:74	0	 0.427
ABCG4	HGNC:13884	0	 0.105
ABCG5	HGNC:13886	0	 0.107
ABCG8	HGNC:13887	0	 0.105
ABHD1	HGNC:17553	0	 0.090
ABHD10	HGNC:25656	0	 0.098
ABHD11	HGNC:16407	0	 0.096
ABHD12	HGNC:15868	0	 0.093
ABHD12B	HGNC:19837	0	 0.084
ABHD13	HGNC:20293	0	 0.092
ABHD14A	HGNC:24538	0	 0.103
ABHD14B	HGNC:28235	0	 0.098
ABHD15	HGNC:26971	0	 0.094
ABHD16A	HGNC:13921	0	 0.102
ABHD16B	HGNC:16128	0	 0.084
ABHD17A	HGNC:28756	0	 0.096
ABHD17B	HGNC:24278	0	 0.095
ABHD17C	HGNC:26925	0	 0.097
ABHD2	HGNC:18717	0	 0.109
ABHD3	HGNC:18718	0	 0.105
ABHD4	HGNC:20154	0	 0.100
ABHD5	HGNC:21396	0	 0.110
ABHD6	HGNC:21398	0	 0.103
ABHD8	HGNC:23759	0	 0.102
ABI1	HGNC:11320	0	 0.120
ABI2	HGNC:24011	0	 0.117
ABI3	HGNC:29859	0	 0.107
ABI3BP	HGNC:17265	0	 0.105
ABL1	HGNC:76	0	 0.169
ABL2	HGNC:77	0	 0.125
ABLIM1	HGNC:78	0	 0.150
ABLIM2	HGNC:19195	0	 0.094
ABLIM3	HGNC:29132	0	 0.113
ABO	HGNC:79	2	 0.598
ABR	HGNC:81	0	 0.120
ABRA	HGNC:30655	0	 0.094
ABRACL	HGNC:21230	0	 0.097
ABT1	HGNC:17369	0	 0.101
ABTB1	HGNC:18275	0	 0.101
ABTB2	HGNC:23842	0	 0.115
ACAA1	HGNC:82	0	 0.115
ACAA2	HGNC:83	0	 0.115
ACACA	HGNC:84	0	 0.126
ACACB	HGNC:85	0	 0.109
ACAD10	HGNC:21597	0	 0.089
ACAD11	HGNC:30211	0	 0.088
ACAD8	HGNC:87	0	 0.105
ACAD9	HGNC:21497	0	 0.093
ACADL	HGNC:88	0	 0.109
ACADM	HGNC:89	0	 0.123
