doid_id	doid_name	bto_id	bto_name	r_scaled
DOID:10652	Alzheimer's disease	BTO:0000776	B-lymphocyte	23.0
DOID:10652	Alzheimer's disease	BTO:0000755	Leydig cell	21.0
DOID:10652	Alzheimer's disease	BTO:0000443	adipocyte	23.0
DOID:10652	Alzheimer's disease	BTO:0000045	adrenal cortex	22.0
DOID:10652	Alzheimer's disease	BTO:0000047	adrenal gland	26.0
DOID:10652	Alzheimer's disease	BTO:0001042	amygdala	37.0
DOID:10652	Alzheimer's disease	BTO:0000089	blood	28.0
DOID:10652	Alzheimer's disease	BTO:0000141	bone marrow	19.0
DOID:10652	Alzheimer's disease	BTO:0000142	brain	38.0
DOID:10652	Alzheimer's disease	BTO:0002320	cardiac muscle fiber	21.0
DOID:10652	Alzheimer's disease	BTO:0001539	cardiac myocyte	13.0
DOID:10652	Alzheimer's disease	BTO:0000211	caudate nucleus	35.0
DOID:10652	Alzheimer's disease	BTO:0000232	cerebellum	36.0
DOID:10652	Alzheimer's disease	BTO:0000269	colon	20.0
DOID:10652	Alzheimer's disease	BTO:0000289	cytotoxic T-lymphocyte	17.0
DOID:10652	Alzheimer's disease	BTO:0002042	dendritic cell	22.0
DOID:10652	Alzheimer's disease	BTO:0001176	endothelial cell	27.0
DOID:10652	Alzheimer's disease	BTO:0004911	erythroid progenitor cell	0.0
DOID:10652	Alzheimer's disease	BTO:0000562	heart	24.0
DOID:10652	Alzheimer's disease	BTO:0002417	helper T-lymphocyte	20.0
DOID:10652	Alzheimer's disease	BTO:0000725	hematopoietic stem cell	19.0
DOID:10652	Alzheimer's disease	BTO:0001073	hypophysis	19.0
DOID:10652	Alzheimer's disease	BTO:0000614	hypothalamus	30.0
DOID:10652	Alzheimer's disease	BTO:0000671	kidney	23.0
DOID:10652	Alzheimer's disease	BTO:0000759	liver	22.0
DOID:10652	Alzheimer's disease	BTO:0000763	lung	18.0
DOID:10652	Alzheimer's disease	BTO:0000784	lymph node	15.0
DOID:10652	Alzheimer's disease	BTO:0000041	medulla oblongata	29.0
DOID:10652	Alzheimer's disease	BTO:0000876	monocyte	28.0
DOID:10652	Alzheimer's disease	BTO:0004730	myeloid progenitor cell	0.0
DOID:10652	Alzheimer's disease	BTO:0000914	natural killer cell	23.0
DOID:10652	Alzheimer's disease	BTO:0000293	occipital lobe	40.0
DOID:10652	Alzheimer's disease	BTO:0000961	olfactory bulb	34.0
DOID:10652	Alzheimer's disease	BTO:0000975	ovary	25.0
DOID:10652	Alzheimer's disease	BTO:0000988	pancreas	23.0
DOID:10652	Alzheimer's disease	BTO:0000991	pancreatic islet	23.0
DOID:10652	Alzheimer's disease	BTO:0001067	pineal gland	31.0
DOID:10652	Alzheimer's disease	BTO:0001078	placenta	21.0
DOID:10652	Alzheimer's disease	BTO:0001101	pons	32.0
DOID:10652	Alzheimer's disease	BTO:0001129	prostate gland	22.0
DOID:10652	Alzheimer's disease	BTO:0001175	retina	26.0
DOID:10652	Alzheimer's disease	BTO:0001203	salivary gland	20.0
DOID:10652	Alzheimer's disease	BTO:0001235	seminiferous tubule	0.0
DOID:10652	Alzheimer's disease	BTO:0001103	skeletal muscle	23.0
DOID:10652	Alzheimer's disease	BTO:0001253	skin	22.0
DOID:10652	Alzheimer's disease	BTO:0000651	small intestine	18.0
DOID:10652	Alzheimer's disease	BTO:0001260	smooth muscle	26.0
DOID:10652	Alzheimer's disease	BTO:0000958	spermatogonium	17.0
DOID:10652	Alzheimer's disease	BTO:0001279	spinal cord	28.0
DOID:10652	Alzheimer's disease	BTO:0001264	spinal ganglion	26.0
DOID:10652	Alzheimer's disease	BTO:0001325	superior cervical ganglion	30.0
DOID:10652	Alzheimer's disease	BTO:0001355	temporal lobe	40.0
DOID:10652	Alzheimer's disease	BTO:0001363	testis	21.0
DOID:10652	Alzheimer's disease	BTO:0001365	thalamus	35.0
DOID:10652	Alzheimer's disease	BTO:0001374	thymus	19.0
DOID:10652	Alzheimer's disease	BTO:0001379	thyroid gland	16.0
DOID:10652	Alzheimer's disease	BTO:0001385	tongue	19.0
DOID:10652	Alzheimer's disease	BTO:0001387	tonsil	0.0
DOID:10652	Alzheimer's disease	BTO:0001388	trachea	17.0
DOID:10652	Alzheimer's disease	BTO:0001231	trigeminal ganglion	30.0
DOID:10652	Alzheimer's disease	BTO:0001424	uterus	20.0
DOID:10652	Alzheimer's disease	BTO:0000084	vermiform appendix	14.0
DOID:9206	Barrett's esophagus	BTO:0000776	B-lymphocyte	0.0
DOID:9206	Barrett's esophagus	BTO:0000755	Leydig cell	0.0
DOID:9206	Barrett's esophagus	BTO:0000443	adipocyte	0.0
DOID:9206	Barrett's esophagus	BTO:0000045	adrenal cortex	0.0
DOID:9206	Barrett's esophagus	BTO:0000047	adrenal gland	0.0
DOID:9206	Barrett's esophagus	BTO:0001042	amygdala	0.0
DOID:9206	Barrett's esophagus	BTO:0000089	blood	0.0
DOID:9206	Barrett's esophagus	BTO:0000141	bone marrow	21.0
DOID:9206	Barrett's esophagus	BTO:0000142	brain	0.0
DOID:9206	Barrett's esophagus	BTO:0002320	cardiac muscle fiber	0.0
DOID:9206	Barrett's esophagus	BTO:0001539	cardiac myocyte	0.0
DOID:9206	Barrett's esophagus	BTO:0000211	caudate nucleus	0.0
DOID:9206	Barrett's esophagus	BTO:0000232	cerebellum	0.0
DOID:9206	Barrett's esophagus	BTO:0000269	colon	35.0
DOID:9206	Barrett's esophagus	BTO:0000289	cytotoxic T-lymphocyte	0.0
DOID:9206	Barrett's esophagus	BTO:0002042	dendritic cell	28.0
DOID:9206	Barrett's esophagus	BTO:0001176	endothelial cell	26.0
DOID:9206	Barrett's esophagus	BTO:0004911	erythroid progenitor cell	0.0
DOID:9206	Barrett's esophagus	BTO:0000562	heart	20.0
DOID:9206	Barrett's esophagus	BTO:0002417	helper T-lymphocyte	0.0
DOID:9206	Barrett's esophagus	BTO:0000725	hematopoietic stem cell	0.0
DOID:9206	Barrett's esophagus	BTO:0001073	hypophysis	0.0
DOID:9206	Barrett's esophagus	BTO:0000614	hypothalamus	0.0
DOID:9206	Barrett's esophagus	BTO:0000671	kidney	0.0
DOID:9206	Barrett's esophagus	BTO:0000759	liver	21.0
DOID:9206	Barrett's esophagus	BTO:0000763	lung	20.0
DOID:9206	Barrett's esophagus	BTO:0000784	lymph node	32.0
DOID:9206	Barrett's esophagus	BTO:0000041	medulla oblongata	0.0
DOID:9206	Barrett's esophagus	BTO:0000876	monocyte	24.0
DOID:9206	Barrett's esophagus	BTO:0004730	myeloid progenitor cell	0.0
DOID:9206	Barrett's esophagus	BTO:0000914	natural killer cell	31.0
DOID:9206	Barrett's esophagus	BTO:0000293	occipital lobe	0.0
DOID:9206	Barrett's esophagus	BTO:0000961	olfactory bulb	0.0
DOID:9206	Barrett's esophagus	BTO:0000975	ovary	0.0
DOID:9206	Barrett's esophagus	BTO:0000988	pancreas	24.0
DOID:9206	Barrett's esophagus	BTO:0000991	pancreatic islet	33.0
DOID:9206	Barrett's esophagus	BTO:0001067	pineal gland	0.0
DOID:9206	Barrett's esophagus	BTO:0001078	placenta	0.0
DOID:9206	Barrett's esophagus	BTO:0001101	pons	0.0
DOID:9206	Barrett's esophagus	BTO:0001129	prostate gland	26.0
DOID:9206	Barrett's esophagus	BTO:0001175	retina	26.0
DOID:9206	Barrett's esophagus	BTO:0001203	salivary gland	29.0
DOID:9206	Barrett's esophagus	BTO:0001235	seminiferous tubule	0.0
DOID:9206	Barrett's esophagus	BTO:0001103	skeletal muscle	0.0
DOID:9206	Barrett's esophagus	BTO:0001253	skin	22.0
DOID:9206	Barrett's esophagus	BTO:0000651	small intestine	29.0
DOID:9206	Barrett's esophagus	BTO:0001260	smooth muscle	28.0
DOID:9206	Barrett's esophagus	BTO:0000958	spermatogonium	0.0
DOID:9206	Barrett's esophagus	BTO:0001279	spinal cord	0.0
DOID:9206	Barrett's esophagus	BTO:0001264	spinal ganglion	0.0
DOID:9206	Barrett's esophagus	BTO:0001325	superior cervical ganglion	0.0
DOID:9206	Barrett's esophagus	BTO:0001355	temporal lobe	0.0
DOID:9206	Barrett's esophagus	BTO:0001363	testis	0.0
DOID:9206	Barrett's esophagus	BTO:0001365	thalamus	0.0
DOID:9206	Barrett's esophagus	BTO:0001374	thymus	0.0
DOID:9206	Barrett's esophagus	BTO:0001379	thyroid gland	0.0
DOID:9206	Barrett's esophagus	BTO:0001385	tongue	34.0
DOID:9206	Barrett's esophagus	BTO:0001387	tonsil	0.0
DOID:9206	Barrett's esophagus	BTO:0001388	trachea	30.0
DOID:9206	Barrett's esophagus	BTO:0001231	trigeminal ganglion	0.0
DOID:9206	Barrett's esophagus	BTO:0001424	uterus	0.0
DOID:9206	Barrett's esophagus	BTO:0000084	vermiform appendix	0.0
DOID:13241	Behcet's disease	BTO:0000776	B-lymphocyte	32.0
DOID:13241	Behcet's disease	BTO:0000755	Leydig cell	0.0
DOID:13241	Behcet's disease	BTO:0000443	adipocyte	0.0
DOID:13241	Behcet's disease	BTO:0000045	adrenal cortex	0.0
DOID:13241	Behcet's disease	BTO:0000047	adrenal gland	0.0
DOID:13241	Behcet's disease	BTO:0001042	amygdala	0.0
DOID:13241	Behcet's disease	BTO:0000089	blood	0.0
DOID:13241	Behcet's disease	BTO:0000141	bone marrow	0.0
DOID:13241	Behcet's disease	BTO:0000142	brain	28.0
DOID:13241	Behcet's disease	BTO:0002320	cardiac muscle fiber	0.0
DOID:13241	Behcet's disease	BTO:0001539	cardiac myocyte	0.0
DOID:13241	Behcet's disease	BTO:0000211	caudate nucleus	0.0
DOID:13241	Behcet's disease	BTO:0000232	cerebellum	0.0
DOID:13241	Behcet's disease	BTO:0000269	colon	26.0
DOID:13241	Behcet's disease	BTO:0000289	cytotoxic T-lymphocyte	35.0
DOID:13241	Behcet's disease	BTO:0002042	dendritic cell	0.0
DOID:13241	Behcet's disease	BTO:0001176	endothelial cell	31.0
DOID:13241	Behcet's disease	BTO:0004911	erythroid progenitor cell	0.0
DOID:13241	Behcet's disease	BTO:0000562	heart	22.0
DOID:13241	Behcet's disease	BTO:0002417	helper T-lymphocyte	0.0
DOID:13241	Behcet's disease	BTO:0000725	hematopoietic stem cell	38.0
DOID:13241	Behcet's disease	BTO:0001073	hypophysis	0.0
DOID:13241	Behcet's disease	BTO:0000614	hypothalamus	0.0
DOID:13241	Behcet's disease	BTO:0000671	kidney	0.0
DOID:13241	Behcet's disease	BTO:0000759	liver	19.0
DOID:13241	Behcet's disease	BTO:0000763	lung	28.0
DOID:13241	Behcet's disease	BTO:0000784	lymph node	0.0
DOID:13241	Behcet's disease	BTO:0000041	medulla oblongata	0.0
DOID:13241	Behcet's disease	BTO:0000876	monocyte	31.0
DOID:13241	Behcet's disease	BTO:0004730	myeloid progenitor cell	0.0
