disease_code	disease_name	gene_code	gene_symbol	status
DOID:10652	Alzheimer's disease	HGNC:37	ABCA7	HC_primary
DOID:10652	Alzheimer's disease	HGNC:613	APOE	HC_primary
DOID:10652	Alzheimer's disease	HGNC:1052	BIN1	HC_primary
DOID:10652	Alzheimer's disease	HGNC:14258	CD2AP	HC_primary
DOID:10652	Alzheimer's disease	HGNC:1659	CD33	HC_primary
DOID:10652	Alzheimer's disease	HGNC:2095	CLU	HC_primary
DOID:10652	Alzheimer's disease	HGNC:2334	CR1	HC_primary
DOID:10652	Alzheimer's disease	HGNC:3385	EPHA1	HC_primary
DOID:10652	Alzheimer's disease	HGNC:13375	MS4A6A	HC_primary
DOID:10652	Alzheimer's disease	HGNC:21055	MTHFD1L	HC_primary
DOID:10652	Alzheimer's disease	HGNC:15514	PICALM	HC_primary
DOID:10652	Alzheimer's disease	HGNC:11185	SORL1	HC_primary
DOID:10652	Alzheimer's disease	HGNC:607	APOC1	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:998	BCL3	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:31948	CEACAM16	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:33480	CYP27C1	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:2895	EDAR	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:13371	MS4A4A	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:14284	MS4A4E	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:27607	PPP1R37	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:9707	PVRL2	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:19000	SCARA3	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:18001	TOMM40	HC_secondary
DOID:10652	Alzheimer's disease	HGNC:13202	ADAMTS9	LC_primary
DOID:10652	Alzheimer's disease	HGNC:25681	ANKRD55	LC_primary
DOID:10652	Alzheimer's disease	HGNC:18357	ARHGAP20	LC_primary
DOID:10652	Alzheimer's disease	HGNC:26744	C5orf64	LC_primary
DOID:10652	Alzheimer's disease	HGNC:2510	CTNNA2	LC_primary
DOID:10652	Alzheimer's disease	HGNC:19986	CYCS	LC_primary
DOID:10652	Alzheimer's disease	HGNC:23111	DCHS2	LC_primary
DOID:10652	Alzheimer's disease	HGNC:16286	ELMO1	LC_primary
DOID:10652	Alzheimer's disease	HGNC:30389	EXOC4	LC_primary
DOID:10652	Alzheimer's disease	HGNC:14074	FMN2	LC_primary
DOID:10652	Alzheimer's disease	HGNC:14458	GAB2	LC_primary
DOID:10652	Alzheimer's disease	HGNC:19698	KCNV2	LC_primary
DOID:10652	Alzheimer's disease	HGNC:6619	LIPC	LC_primary
DOID:10652	Alzheimer's disease	HGNC:7141	MLN	LC_primary
DOID:10652	Alzheimer's disease	HGNC:7158	MMP12	LC_primary
DOID:10652	Alzheimer's disease	HGNC:7189	MOBP	LC_primary
DOID:10652	Alzheimer's disease	HGNC:8616	PAX2	LC_primary
DOID:10652	Alzheimer's disease	HGNC:8792	PDE7B	LC_primary
DOID:10652	Alzheimer's disease	HGNC:14942	PPP1R3B	LC_primary
DOID:10652	Alzheimer's disease	HGNC:24903	PRRC2C	LC_primary
